行 ID,オーダー ID,オーダー日,出荷日,出荷モード,顧客 ID,顧客名,顧客区分,市区町村,都道府県,国/地域,地域,製品 ID,カテゴリ,サブカテゴリ,製品名,売上,数量,割引率,利益
1,JP-2021-1000099,2021-11-08,2021-11-08,即日配送,谷大-14605,谷奥 大地,消費者,千歳市,北海道,日本,北海道,家具-本棚-10004817,家具,本棚,"Dania キャビネット, 従来型",16974.0,3,0.4,-1986.0
2,JP-2022-1001016,2022-10-07,2022-10-10,ファースト クラス,飯真-14980,飯沼 真,消費者,豊田市,愛知県,日本,中部地方,事務用-アプ-10001193,事務用品,アプライアンス,"フーバー ミキサー, シルバー",52224.0,8,0.0,25584.0
3,JP-2020-1001113,2020-08-18,2020-08-21,ファースト クラス,笹大-16015,笹淵 大輔,消費者,浜松市中区,静岡県,日本,中部地方,事務用-バイ-10002621,事務用品,バインダー,"カーディナル バインダー, エコノミー",3319.2,6,0.4,211.20000000000027
4,JP-2020-1001177,2020-11-25,2020-11-27,ファースト クラス,柿海-18790,柿下 海斗,小規模事業所,千歳市,北海道,日本,北海道,家具-椅子-10000770,家具,椅子,"Novimex 折り畳み式の椅子, 赤",16446.0,5,0.4,2466.0
5,JP-2020-1001177,2020-11-25,2020-11-27,ファースト クラス,柿海-18790,柿下 海斗,小規模事業所,千歳市,北海道,日本,北海道,家具-家具-10000840,家具,家具,"Eldon フレーム, 黒",18600.0,4,0.4,-3720.0
6,JP-2020-1001799,2020-12-26,2020-12-29,セカンド クラス,吉桜-16690,吉家 桜,大企業,堺市堺区,大阪府,日本,関西地方,家具-椅子-10001828,家具,椅子,"Harbour Creations スツール, 調整可能",85218.0,7,0.0,1694.0
7,JP-2020-1002711,2020-06-20,2020-06-24,セカンド クラス,五美-19525,五月女 美月,大企業,佐伯市,大分県,日本,九州,事務用-紙-10004650,事務用品,紙,"サンディスク 事務用品, プレミアム",35508.0,11,0.0,10296.0
8,JP-2022-1003088,2022-05-30,2022-06-03,通常配送,中茂-21505,中津 茂,消費者,横須賀市,神奈川県,日本,関東地方,家具-家具-10004135,家具,家具,"Advantus 電球, 高耐久性",3419.999999999999,3,0.0,1056.0
9,JP-2021-1003752,2021-10-30,2021-11-04,セカンド クラス,東麗-17905,東條 麗華,大企業,久留米市,福岡県,日本,九州,事務用-画材-10004918,事務用品,画材,"Binney & Smith ペン, 各種サイズ",4032.0,4,0.0,40.0
10,JP-2021-1003752,2021-10-30,2021-11-04,セカンド クラス,東麗-17905,東條 麗華,大企業,久留米市,福岡県,日本,九州,事務用-画材-10002208,事務用品,画材,"Stanley キャンバス, 大容量パック",9947.999999999998,3,0.0,3180.0
11,JP-2021-1003752,2021-10-30,2021-11-04,セカンド クラス,東麗-17905,東條 麗華,大企業,久留米市,福岡県,日本,九州,事務用-保管-10002336,事務用品,保管箱,"Rogers ファイル カート, 業務用",18944.000000000004,2,0.0,3788.0000000000005
12,JP-2021-1003752,2021-10-30,2021-11-04,セカンド クラス,東麗-17905,東條 麗華,大企業,久留米市,福岡県,日本,九州,事務用-バイ-10002722,事務用品,バインダー,"カーディナル タブ, 高耐久性",4672.0,8,0.0,1536.0
13,JP-2021-1003752,2021-10-30,2021-11-04,セカンド クラス,東麗-17905,東條 麗華,大企業,久留米市,福岡県,日本,九州,事務用-ラベ-10002544,事務用品,ラベル,"Novimex 輸送用ラベル, 白",3659.9999999999995,5,0.0,1280.0
14,JP-2022-1006716,2022-05-26,2022-06-02,通常配送,堀慶-14260,堀籠 慶子,小規模事業所,坂戸市,埼玉県,日本,関東地方,事務用-アプ-10004321,事務用品,アプライアンス,"ブレビル コンロ, 赤",112308.0,3,0.0,28074.0
15,JP-2022-1006716,2022-05-26,2022-06-02,通常配送,堀慶-14260,堀籠 慶子,小規模事業所,坂戸市,埼玉県,日本,関東地方,事務用-封筒-10001144,事務用品,封筒,"Cameo クラフト封筒, シルバー",7146.0,9,0.0,2628.0
16,JP-2022-1006716,2022-05-26,2022-06-02,通常配送,堀慶-14260,堀籠 慶子,小規模事業所,坂戸市,埼玉県,日本,関東地方,事務用-クリ-10000147,事務用品,クリップ,"Stockwell ホチキス, 大容量パック",2082.0,3,0.0,78.0
17,JP-2022-1006716,2022-05-26,2022-06-02,通常配送,堀慶-14260,堀籠 慶子,小規模事業所,坂戸市,埼玉県,日本,関東地方,事務用-封筒-10002464,事務用品,封筒,"Cameo 各種封筒, 赤",22240.0,8,0.0,7104.000000000001
18,JP-2022-1006716,2022-05-26,2022-06-02,通常配送,堀慶-14260,堀籠 慶子,小規模事業所,坂戸市,埼玉県,日本,関東地方,家電-事務-10004219,家電,事務機器,"OKI データ カード プリンター, 赤",46128.0,4,0.0,9224.0
19,JP-2022-1008702,2022-09-30,2022-10-04,通常配送,皆学-10465,皆川 学,消費者,旭川市,北海道,日本,北海道,事務用-封筒-10001943,事務用品,封筒,"Kraft 社内用封筒, 50 枚セット",5630.4,3,0.4,-657.6000000000004
20,JP-2020-1009485,2020-06-06,2020-06-08,ファースト クラス,日拓-11500,日野 拓也,消費者,豊田市,愛知県,日本,中部地方,家具-椅子-10004250,家具,椅子,"Office Star 肘掛け椅子, 赤",155809.99999999997,5,0.0,32720.0
21,JP-2020-1009485,2020-06-06,2020-06-08,ファースト クラス,日拓-11500,日野 拓也,消費者,豊田市,愛知県,日本,中部地方,事務用-ラベ-10001565,事務用品,ラベル,"Hon ファイル フォルダ ラベル, 白",2304.0,4,0.0,136.0
22,JP-2020-1009485,2020-06-06,2020-06-08,ファースト クラス,日拓-11500,日野 拓也,消費者,豊田市,愛知県,日本,中部地方,家具-テー-10001743,家具,テーブル,"Lesro 木製テーブル, 長方形",111600.0,6,0.4,-11160.0
23,JP-2020-1009485,2020-06-06,2020-06-08,ファースト クラス,日拓-11500,日野 拓也,消費者,豊田市,愛知県,日本,中部地方,家具-椅子-10000875,家具,椅子,"Hon 折り畳み式の椅子, 2 つセット",50202.0,9,0.0,24588.0
24,JP-2020-1012065,2020-09-27,2020-09-30,ファースト クラス,植丈-10390,植草 丈夫,消費者,芦屋市,兵庫県,日本,関西地方,家具-椅子-10000166,家具,椅子,"Office Star ビーチ チェア, 2 つセット",23076.0,6,0.0,2759.9999999999995
